prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
IndC_bin_098_k141_6433_fragment_2	IndC_bin_098_k141_6433	no	2.1981746872342094e-06	0	0.16786478498519564	-0.10390437631103552	23282	0.020960398591186324	0.0	0.1432548139961294	24034	0.12486477490222185	0.0	0.3927038574618217
IndC_bin_118_k141_173225_fragment_1	IndC_bin_118_k141_173225	no	0.018852161417511275	0.06527729627104717	1.0465953535366006	0.12953080873732103	12533	2.9094390808266177	3	1.788805611356386	18097	2.7799082720892967	2	2.162220510957341
IndC_bin_102_k141_33197_fragment_2	IndC_bin_102_k141_33197	no	8.357202494787854e-09	0.4542083169199733	1.185452248761064	2.437438916703094	37332	15.58065466623808	15.0	5.853163264912913	121502	13.143215749534987	13.0	4.830715823317919
IndC_bin_024_k141_4896_fragment_1	IndC_bin_024_k141_4896	no	0.7478910144679586	0	0.9488403814926561	-0.18780216169593755	56700	3.48310405643739	3.0	2.2606671468593444	89239	3.6709062181333274	3	2.494816729015509
IndC_bin_022_k141_276178_fragment_1	IndC_bin_022_k141_276178	no	0.5790718708033665	0.15217506879257248	1.0712683376886656	0.568806025419784	35464	8.549994360478232	8.0	3.8433769893709315	105307	7.981188335058448	8	3.6292348692468246
IndC_bin_114_k141_300625_fragment_1	IndC_bin_114_k141_300625	no	1.9777827498511074e-18	0	0.8178896536924893	-10.56611440310352	8957	47.45428156748911	46	10.952771894912642	60257	58.02039597059263	55	17.921950080794467
IndC_bin_067_k141_307586_fragment_1	IndC_bin_067_k141_307586	no	0.0003744900795530627	0.19627630195188625	1.2875533886113912	0.2335745780401275	9486	1.0458570524984188	1.0	1.1972139588540474	71256	0.8122824744582913	0.0	1.1828012855836016
IndC_bin_123_k141_76285_fragment_1	IndC_bin_123_k141_76285	no	0.015979531388424992	0.09885740780678637	1.0555514446859928	0.28548376814275755	27503	5.424571864887467	5	2.906021237580173	56892	5.139088096744709	5.0	2.869531182119259
IndC_bin_116_k141_350518_fragment_1	IndC_bin_116_k141_350518	no	0.00014259041199993582	0.24665710091700643	1.216522647477234	0.5167780063396625	11077	2.9034937257380156	3	2.293116136889671	39957	2.386715719398353	2	1.8763620454418035
IndC_bin_046_k141_45893_fragment_2	IndC_bin_046_k141_45893	no	2.1970685068095508e-74	1.5467372416552003	1.3855704648460148	38.92205486396382	5957	139.86872586872587	141	21.226098016583922	135236	100.94667100476205	96.0	28.564031251334573
IndC_bin_002_k141_361529_fragment_4	IndC_bin_002_k141_361529	no	0.03592086222307626	0	0.15922955420619303	-0.09650324282078421	16743	0.018276294570865437	0	0.13395276525653765	191393	0.11477953739164964	0	0.40638737901071625
