prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
IndF_bin_071_k141_151810_fragment_1	IndF_bin_071_k141_151810	no	0.058735902792921145	0.24193215189335537	1.1340069832999797	0.96924564088485	11344	8.202045133991538	8.0	4.051821076749	45769	7.232799493106688	7	3.9601960117543693
IndF_bin_023_k141_447497_fragment_1	IndF_bin_023_k141_447497	no	2.6756846137134048e-05	0	0.6100797012356545	-0.877049139978298	15844	1.3722544811916182	1.0	1.7478933509918295	33746	2.2493036211699162	1.0	9.033828865383455
IndF_bin_120_k141_369759_fragment_1	IndF_bin_120_k141_369759	no	1.4516895518074064e-10	0.5206855041520538	1.2809065369937043	1.6741534130286224	7923	7.633977028903193	7	3.3809043444459905	4082	5.959823615874571	5.0	3.0406625569680643
IndF_bin_033_k141_47991_fragment_2	IndF_bin_033_k141_47991	no	4.788548523908735e-14	0.6804430966971332	1.325901873562522	6.870263023681126	37108	27.951034817290072	28.0	7.651764033551657	69034	21.080771793608946	23.0	12.055670037424836
IndF_bin_105_k141_441432_fragment_1	IndF_bin_105_k141_441432	no	0.04938019380671376	0.05767577643724642	1.0186816413229853	0.4190526871736502	16013	22.850309123836883	23	6.891590268094682	3884	22.431256436663233	22.0	7.6213953532618195
IndF_bin_140_k141_115423_fragment_1	IndF_bin_140_k141_115423	no	0.18293850561613764	0.2491644908507449	1.3200188958220227	0.4408696396165901	18513	1.8185059147625993	1	1.9128056931619304	24656	1.3776362751460092	1.0	1.613279266453351
IndF_bin_097_k141_265489_fragment_1	IndF_bin_097_k141_265489	no	0.34670915042743927	0	0.9541919378030472	-0.8601767954698722	47237	17.917670470182273	17	6.158842499700691	28782	18.777847265652145	18.0	6.211404734782965
IndF_bin_068_k141_463964_fragment_1	IndF_bin_068_k141_463964	no	2.549572157241206e-05	0.28786319513617015	1.0746699413913694	1.9323440667724014	21392	27.81081712789828	28.0	6.80611423041936	4139	25.878473061125877	25	6.618001139987099
IndF_bin_115_k141_338921_fragment_1	IndF_bin_115_k141_338921	no	0.6526658251333148	0.1137410576398526	1.0931350829456137	0.25416085722244564	31793	2.9831094895102694	3	2.309350657458721	189477	2.728948632287824	2	2.157171294917124
IndF_bin_114_k141_485300_fragment_1	IndF_bin_114_k141_485300	no	5.159256174576504e-12	0	0.8850963409409567	-8.817867281339204	23460	67.9235294117647	67.0	15.624958927286082	29756	76.74139669310391	75.0	17.004429768279795
